currentSpeed,freeFlowSpeed,speed_ratio,delay_seconds,roadClosure,congestion_label
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
28,36,0.7778,138,0,Low
27,33,0.8182,117,0,Low
27,35,0.7714,148,0,Low
23,35,0.6571,260,0,Medium
26,34,0.7647,158,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
25,33,0.7576,168,0,Low
27,33,0.8182,117,0,Low
29,35,0.8286,103,0,Low
23,35,0.6571,260,0,Medium
25,34,0.7353,184,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
30,35,0.8571,83,0,Low
27,34,0.7941,133,0,Low
29,34,0.8529,88,0,Low
25,34,0.7353,184,0,Low
23,35,0.6571,260,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
26,34,0.7647,158,0,Low
27,35,0.7714,148,0,Low
26,34,0.7647,158,0,Low
24,35,0.6857,229,0,Medium
23,35,0.6571,260,0,Medium
23,33,0.697,229,0,Medium
26,34,0.7647,158,0,Low
29,35,0.8286,103,0,Low
27,34,0.7941,133,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
27,34,0.7941,133,0,Low
34,34,1.0,0,0,Low
25,34,0.7353,184,0,Low
27,34,0.7941,133,0,Low
24,33,0.7273,198,0,Low
25,34,0.7353,184,0,Low
28,35,0.8,125,0,Low
29,34,0.8529,88,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
24,34,0.7059,214,0,Low
26,33,0.7879,142,0,Low
21,34,0.6176,317,0,Medium
22,34,0.6471,280,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
25,34,0.7353,184,0,Low
29,36,0.8056,116,0,Low
22,34,0.6471,280,0,Medium
22,35,0.6286,295,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
23,34,0.6765,245,0,Medium
24,34,0.7059,214,0,Low
27,35,0.7714,148,0,Low
17,33,0.5152,496,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
26,35,0.7429,173,0,Low
22,35,0.6286,295,0,Medium
20,34,0.5882,359,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
25,34,0.7353,184,0,Low
25,33,0.7576,168,0,Low
28,35,0.8,125,0,Low
22,35,0.6286,295,0,Medium
26,34,0.7647,158,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
28,34,0.8235,110,0,Low
26,33,0.7879,142,0,Low
28,36,0.7778,138,0,Low
22,34,0.6471,280,0,Medium
22,35,0.6286,295,0,Medium
21,34,0.6176,317,0,Medium
24,34,0.7059,214,0,Low
27,34,0.7941,133,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
27,35,0.7714,148,0,Low
22,34,0.6471,280,0,Medium
25,35,0.7143,199,0,Low
25,36,0.6944,212,0,Medium
26,34,0.7647,158,0,Low
24,35,0.6857,229,0,Medium
29,35,0.8286,103,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
28,35,0.8,125,0,Low
26,33,0.7879,142,0,Low
24,35,0.6857,229,0,Medium
25,34,0.7353,184,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
25,34,0.7353,184,0,Low
34,34,1.0,0,0,Low
29,35,0.8286,103,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
23,32,0.7188,213,0,Low
26,35,0.7429,173,0,Low
20,34,0.5882,359,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
24,34,0.7059,214,0,Low
25,34,0.7353,184,0,Low
29,36,0.8056,116,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
27,34,0.7941,133,0,Low
25,35,0.7143,199,0,Low
23,35,0.6571,260,0,Medium
26,34,0.7647,158,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
24,34,0.7059,214,0,Low
23,35,0.6571,260,0,Medium
23,35,0.6571,260,0,Medium
19,35,0.5429,420,0,Medium
22,34,0.6471,280,0,Medium
20,33,0.6061,343,0,Medium
23,34,0.6765,245,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
28,34,0.8235,110,0,Low
22,35,0.6286,295,0,Medium
23,35,0.6571,260,0,Medium
26,34,0.7647,158,0,Low
25,33,0.7576,168,0,Low
25,32,0.7812,152,0,Low
30,34,0.8824,68,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
26,32,0.8125,126,0,Low
20,34,0.5882,359,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
24,34,0.7059,214,0,Low
23,33,0.697,229,0,Medium
22,35,0.6286,295,0,Medium
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
25,34,0.7353,184,0,Low
25,34,0.7353,184,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
34,34,1.0,0,0,Low
